C,S,Î›
1.0,0.9998,0.0
0.0,0.9998,0.052296289379296895
0.0,0.9998,0.09371535237713757
0.0,0.9998,0.11333703602039488
0.0,0.9998,0.11668434057881974
0.0,0.9998,0.10998686904130883
0.0,0.9998,0.09804730274640895
1.0,0.9998,0.08410216657735325
0.0,0.9996,0.1224318612609406
0.0,0.9996,0.1509581290371055
0.0,0.9996,0.15927043377726682
0.0,0.9996,0.1530398470850725
1.0,0.9996,0.13843707074902606
0.0,0.9994,0.17239638706716368
2.0,0.9994,0.19477334097215504
1.0,0.999,0.301011244576464
1.0,0.9988,0.42347864569366594
0.0,0.9986,0.5360218652598021
6.0,0.9986,0.5803951755367914
4.0,0.9974,0.8804930930962003
5.0,0.9966,1.2895376302627024
2.0,0.9956,1.769109198250575
5.0,0.9952,2.10963176160921
8.0,0.9942,2.4584204291642324
6.0,0.9926,2.981314142077108
6.0,0.9914,3.5144845935606863
13.0,0.9902,3.994433398492782
16.0,0.9876,4.7715090233126265
16.0,0.9844,5.925567036602144
14.0,0.9812,7.2770554741880735
18.0,0.9784,8.550383885010842
29.0,0.9748,9.86627865490909
25.0,0.969,11.74173157104298
43.0,0.964,13.771037922631692
40.0,0.9554,16.65451961442363
57.0,0.9474,19.93074852828636
60.0,0.936,24.085307752827784
62.0,0.924,28.85747360953906
66.0,0.9116,33.8329511657209
85.0,0.8984,38.81948502691552
113.0,0.8814,44.51366226052927
94.0,0.8588,51.96921219987001
122.0,0.84,59.384989492770046
136.0,0.8156,67.50392582232217
143.0,0.7884,76.56039952277243
168.0,0.7598,86.14925137719497
191.0,0.7262,96.81814075886899
183.0,0.688,108.94951705725332
222.0,0.6514,121.05061504612075
227.0,0.607,134.25635841937532
203.0,0.5616,147.99146687980243
206.0,0.521,159.96902557985027
215.0,0.4798,169.90592629109193
196.0,0.4368,178.42358694752517
197.0,0.3976,184.67342794486714
164.0,0.3582,188.98599038769964
140.0,0.3254,190.14685361348944
165.0,0.2974,187.6819210044042
138.0,0.2644,184.19688745317876
98.0,0.2368,179.29618414486745
96.0,0.2172,171.5175861237067
73.0,0.198,161.89534343469995
87.0,0.1834,150.5726072941855
66.0,0.166,139.46240685883157
49.0,0.1528,128.33663655011202
42.0,0.143,116.8281639930294
41.0,0.1346,105.251333048144
24.0,0.1264,94.2477774551574
35.0,0.1216,83.42379834060728
17.0,0.1146,73.78098184453222
18.0,0.1112,64.67559781938732
14.0,0.1076,56.318769551533904
11.0,0.1048,48.73741417869618
14.0,0.1026,41.90615070760124
8.0,0.0998,36.079928331358644
10.0,0.0982,30.954874041752948
10.0,0.0962,26.60455201197434
4.0,0.0942,23.01141968015996
4.0,0.0934,19.785389547491036
2.0,0.0926,16.898025664256622
5.0,0.0922,14.280055441623166
5.0,0.0912,12.118775938030257
3.0,0.0902,10.406816697385912
3.0,0.0896,8.971273118134404
0.0,0.089,7.761728777102449
4.0,0.089,6.600319339910783
1.0,0.0882,5.707253553676803
1.0,0.088,4.923748186619121
1.0,0.0878,4.219799278197954
0.0,0.0876,3.6027390717438834
0.0,0.0876,3.0237856426517062
0.0,0.0876,2.4908861803221156
1.0,0.0876,2.018333897421308
1.0,0.0874,1.664823339599673
1.0,0.0872,1.4189476469828888
0.0,0.087,1.253950394204843
1.0,0.087,1.0940305106612587
0.0,0.0868,0.9843265555232807
0.0,0.0868,0.8704081886906367
0.0,0.0868,0.7485039877791118
