"t","TrueRt","Cases","simulation"
1,1.05075579797784,109,"Random walk"
2,1.15900937123493,123,"Random walk"
3,1.27904687521183,132,"Random walk"
4,1.25432592311175,130,"Random walk"
5,1.21901276609247,132,"Random walk"
6,1.31982461556305,138,"Random walk"
7,1.33426741549276,144,"Random walk"
8,1.33722605619131,154,"Random walk"
9,1.38122648595819,166,"Random walk"
10,1.46980665176169,179,"Random walk"
11,1.25954778340346,154,"Random walk"
12,1.3479105093351,203,"Random walk"
13,1.35394452271656,184,"Random walk"
14,1.43794293409087,228,"Random walk"
15,1.32395180390399,194,"Random walk"
16,1.29365707384879,204,"Random walk"
17,1.19042944124553,211,"Random walk"
18,1.02019672710724,212,"Random walk"
19,1.13748865883978,197,"Random walk"
20,1.2926471263587,230,"Random walk"
21,1.24790806219295,244,"Random walk"
22,1.26992577182373,223,"Random walk"
23,1.37300234856143,276,"Random walk"
24,1.26157750118038,285,"Random walk"
25,1.24239833405177,296,"Random walk"
26,1.15133041435367,281,"Random walk"
27,0.937442694472502,202,"Random walk"
28,0.80466476571653,215,"Random walk"
29,0.83997253619983,204,"Random walk"
30,0.770540542072998,177,"Random walk"
31,0.876339512072316,221,"Random walk"
32,0.935836791908507,229,"Random walk"
33,0.946752658260147,208,"Random walk"
34,0.938354461845845,189,"Random walk"
35,0.922556578053314,189,"Random walk"
36,0.972493464862293,218,"Random walk"
37,0.875822968174508,187,"Random walk"
38,0.848120494406299,183,"Random walk"
39,0.649925608997018,131,"Random walk"
40,0.658019222189197,138,"Random walk"
41,0.736653639942764,132,"Random walk"
42,0.534615273272704,89,"Random walk"
43,0.528510247902397,79,"Random walk"
44,0.508145468302673,88,"Random walk"
45,0.44697277599999,69,"Random walk"
46,0.514484786149741,89,"Random walk"
47,0.687666652758221,63,"Random walk"
48,0.68915182037088,79,"Random walk"
49,0.724661142715747,55,"Random walk"
50,0.840263024138111,71,"Random walk"
51,0.976407115736378,106,"Random walk"
52,0.809572465850976,67,"Random walk"
53,0.735767795852321,61,"Random walk"
54,0.682530545189007,77,"Random walk"
55,0.645923232664183,48,"Random walk"
56,0.653307826746064,49,"Random walk"
57,0.654546787631544,57,"Random walk"
58,0.740303004888021,64,"Random walk"
59,0.629911413056697,46,"Random walk"
60,0.66478464188997,39,"Random walk"
61,0.599627547992097,45,"Random walk"
62,0.623908199446909,25,"Random walk"
63,0.6598634125902,29,"Random walk"
64,0.717115543950159,36,"Random walk"
65,0.925592364770454,49,"Random walk"
66,0.987107738116638,53,"Random walk"
67,1.02435827657331,39,"Random walk"
68,0.873799137534769,42,"Random walk"
69,0.909444023549459,33,"Random walk"
70,0.976222168201091,44,"Random walk"
71,0.996468476611257,48,"Random walk"
72,1.09900209489661,44,"Random walk"
73,0.943010942561359,38,"Random walk"
74,0.976883460044748,47,"Random walk"
75,0.961959830272741,43,"Random walk"
76,1.0091507222337,36,"Random walk"
77,0.935757419047802,40,"Random walk"
78,0.913152537129962,35,"Random walk"
79,1.04529031057593,46,"Random walk"
80,1.01211333437453,37,"Random walk"
81,1.19935431101699,41,"Random walk"
82,1.38549521020649,78,"Random walk"
83,1.09715233869553,39,"Random walk"
84,1.0743656787913,55,"Random walk"
85,1.02816103456437,58,"Random walk"
86,1.16846520553051,56,"Random walk"
87,1.11991873158349,59,"Random walk"
88,1.23624808384336,62,"Random walk"
89,1.20476686479896,56,"Random walk"
90,1.32892576555317,82,"Random walk"
91,1.16025228126673,57,"Random walk"
92,1.16722749201144,86,"Random walk"
93,1.10382527773161,66,"Random walk"
94,1.06947027708051,65,"Random walk"
95,1.23422323504758,72,"Random walk"
96,1.13784316826739,73,"Random walk"
97,1.038436717091,62,"Random walk"
98,1.14171462316315,65,"Random walk"
99,1.07461161679909,77,"Random walk"
100,1.08570007889435,87,"Random walk"
1,1,83,"Sinusoidal"
2,1.14737758720545,116,"Sinusoidal"
3,1.28166002903181,130,"Sinusoidal"
4,1.39091574123401,131,"Sinusoidal"
5,1.4654368743221,167,"Sinusoidal"
6,1.49860189859059,180,"Sinusoidal"
7,1.48746395609091,178,"Sinusoidal"
8,1.43301270189222,158,"Sinusoidal"
9,1.34008636888546,188,"Sinusoidal"
10,1.21694186955878,195,"Sinusoidal"
11,1.07452113308809,158,"Sinusoidal"
12,0.925478866911913,147,"Sinusoidal"
13,0.783058130441221,125,"Sinusoidal"
14,0.65991363111454,114,"Sinusoidal"
15,0.566987298107781,90,"Sinusoidal"
16,0.512536043909088,86,"Sinusoidal"
17,0.50139810140941,62,"Sinusoidal"
18,0.534563125677898,72,"Sinusoidal"
19,0.609084258765985,60,"Sinusoidal"
20,0.718339970968189,99,"Sinusoidal"
21,0.852622412794548,92,"Sinusoidal"
22,1,105,"Sinusoidal"
23,1.14737758720545,124,"Sinusoidal"
24,1.28166002903181,119,"Sinusoidal"
25,1.39091574123401,146,"Sinusoidal"
26,1.4654368743221,148,"Sinusoidal"
27,1.49860189859059,179,"Sinusoidal"
28,1.48746395609091,168,"Sinusoidal"
29,1.43301270189222,165,"Sinusoidal"
30,1.34008636888546,173,"Sinusoidal"
31,1.21694186955878,201,"Sinusoidal"
32,1.07452113308809,140,"Sinusoidal"
33,0.925478866911913,133,"Sinusoidal"
34,0.783058130441221,114,"Sinusoidal"
35,0.65991363111454,95,"Sinusoidal"
36,0.566987298107781,100,"Sinusoidal"
37,0.512536043909088,68,"Sinusoidal"
38,0.50139810140941,56,"Sinusoidal"
39,0.534563125677898,74,"Sinusoidal"
40,0.609084258765985,79,"Sinusoidal"
41,0.718339970968189,82,"Sinusoidal"
42,0.852622412794548,79,"Sinusoidal"
43,1,101,"Sinusoidal"
44,1.14737758720545,93,"Sinusoidal"
45,1.28166002903181,92,"Sinusoidal"
46,1.39091574123401,141,"Sinusoidal"
47,1.4654368743221,120,"Sinusoidal"
48,1.49860189859059,148,"Sinusoidal"
49,1.48746395609091,132,"Sinusoidal"
50,1.43301270189222,173,"Sinusoidal"
51,1.34008636888546,156,"Sinusoidal"
52,1.21694186955878,151,"Sinusoidal"
53,1.07452113308809,133,"Sinusoidal"
54,0.925478866911913,120,"Sinusoidal"
55,0.783058130441221,128,"Sinusoidal"
56,0.65991363111454,98,"Sinusoidal"
57,0.56698729810778,77,"Sinusoidal"
58,0.512536043909088,63,"Sinusoidal"
59,0.50139810140941,60,"Sinusoidal"
60,0.534563125677898,65,"Sinusoidal"
61,0.609084258765985,62,"Sinusoidal"
62,0.718339970968189,67,"Sinusoidal"
63,0.852622412794549,68,"Sinusoidal"
64,1,77,"Sinusoidal"
65,1.14737758720545,88,"Sinusoidal"
66,1.28166002903181,90,"Sinusoidal"
67,1.39091574123401,121,"Sinusoidal"
68,1.4654368743221,144,"Sinusoidal"
69,1.49860189859059,133,"Sinusoidal"
70,1.48746395609091,147,"Sinusoidal"
71,1.43301270189222,145,"Sinusoidal"
72,1.34008636888546,167,"Sinusoidal"
73,1.21694186955878,152,"Sinusoidal"
74,1.07452113308809,153,"Sinusoidal"
75,0.925478866911912,123,"Sinusoidal"
76,0.783058130441221,107,"Sinusoidal"
77,0.65991363111454,106,"Sinusoidal"
78,0.56698729810778,93,"Sinusoidal"
79,0.512536043909088,80,"Sinusoidal"
80,0.50139810140941,73,"Sinusoidal"
81,0.534563125677898,64,"Sinusoidal"
82,0.609084258765985,62,"Sinusoidal"
83,0.718339970968189,67,"Sinusoidal"
84,0.852622412794549,90,"Sinusoidal"
85,1,88,"Sinusoidal"
86,1.14737758720545,102,"Sinusoidal"
87,1.28166002903181,105,"Sinusoidal"
88,1.39091574123401,145,"Sinusoidal"
89,1.4654368743221,123,"Sinusoidal"
90,1.49860189859059,135,"Sinusoidal"
91,1.48746395609091,128,"Sinusoidal"
92,1.43301270189222,137,"Sinusoidal"
93,1.34008636888546,151,"Sinusoidal"
94,1.21694186955878,142,"Sinusoidal"
95,1.07452113308809,134,"Sinusoidal"
96,0.925478866911912,110,"Sinusoidal"
97,0.783058130441221,98,"Sinusoidal"
98,0.65991363111454,75,"Sinusoidal"
99,0.56698729810778,70,"Sinusoidal"
100,0.512536043909088,55,"Sinusoidal"
1,0.666666666666667,73,"Step change"
2,0.666666666666667,58,"Step change"
3,0.666666666666667,57,"Step change"
4,0.666666666666667,59,"Step change"
5,0.666666666666667,50,"Step change"
6,0.666666666666667,64,"Step change"
7,0.666666666666667,48,"Step change"
8,0.666666666666667,39,"Step change"
9,0.666666666666667,47,"Step change"
10,0.666666666666667,48,"Step change"
11,0.666666666666667,40,"Step change"
12,0.666666666666667,36,"Step change"
13,0.666666666666667,33,"Step change"
14,0.666666666666667,35,"Step change"
15,0.666666666666667,32,"Step change"
16,0.666666666666667,36,"Step change"
17,0.666666666666667,30,"Step change"
18,0.666666666666667,19,"Step change"
19,0.666666666666667,22,"Step change"
20,0.666666666666667,30,"Step change"
21,0.666666666666667,19,"Step change"
22,0.666666666666667,24,"Step change"
23,0.666666666666667,18,"Step change"
24,0.666666666666667,17,"Step change"
25,0.666666666666667,16,"Step change"
26,0.666666666666667,16,"Step change"
27,0.666666666666667,15,"Step change"
28,1.5,27,"Step change"
29,1.5,39,"Step change"
30,1.5,35,"Step change"
31,1.5,41,"Step change"
32,1.5,30,"Step change"
33,1.5,40,"Step change"
34,1.5,38,"Step change"
35,1.5,51,"Step change"
36,1.5,51,"Step change"
37,1.5,50,"Step change"
38,1.5,63,"Step change"
39,1.5,64,"Step change"
40,1.5,64,"Step change"
41,1.5,71,"Step change"
42,1.5,73,"Step change"
43,1.5,79,"Step change"
44,1.5,83,"Step change"
45,1.5,102,"Step change"
46,1.5,87,"Step change"
47,1.5,94,"Step change"
48,1.5,110,"Step change"
49,1.5,115,"Step change"
50,1.5,119,"Step change"
51,1.5,154,"Step change"
52,1.5,138,"Step change"
53,1.5,163,"Step change"
54,1.5,163,"Step change"
55,1.5,158,"Step change"
56,0.666666666666667,70,"Step change"
57,0.666666666666667,101,"Step change"
58,0.666666666666667,91,"Step change"
59,0.666666666666667,70,"Step change"
60,0.666666666666667,84,"Step change"
61,0.666666666666667,72,"Step change"
62,0.666666666666667,66,"Step change"
63,0.666666666666667,61,"Step change"
64,0.666666666666667,58,"Step change"
65,0.666666666666667,63,"Step change"
66,0.666666666666667,55,"Step change"
67,0.666666666666667,59,"Step change"
68,0.666666666666667,41,"Step change"
69,0.666666666666667,48,"Step change"
70,0.666666666666667,58,"Step change"
71,0.666666666666667,45,"Step change"
72,0.666666666666667,35,"Step change"
73,0.666666666666667,45,"Step change"
74,0.666666666666667,34,"Step change"
75,0.666666666666667,35,"Step change"
76,0.666666666666667,32,"Step change"
77,0.666666666666667,35,"Step change"
78,0.666666666666667,21,"Step change"
79,0.666666666666667,24,"Step change"
80,0.666666666666667,34,"Step change"
81,0.666666666666667,27,"Step change"
82,0.666666666666667,18,"Step change"
83,0.666666666666667,17,"Step change"
84,1.5,40,"Step change"
85,1.5,41,"Step change"
86,1.5,39,"Step change"
87,1.5,57,"Step change"
88,1.5,47,"Step change"
89,1.5,46,"Step change"
90,1.5,45,"Step change"
91,1.5,63,"Step change"
92,1.5,67,"Step change"
93,1.5,64,"Step change"
94,1.5,73,"Step change"
95,1.5,62,"Step change"
96,1.5,76,"Step change"
97,1.5,86,"Step change"
98,1.5,86,"Step change"
99,1.5,100,"Step change"
100,1.5,95,"Step change"
