t,Ct,Rt,simulation
1,97,1.0788355601604291,Random walk
2,92,1.0026745600184013,Random walk
3,95,0.9112602194858385,Random walk
4,98,1.0485968541125104,Random walk
5,84,0.9282376532350927,Random walk
6,99,1.0199898255407494,Random walk
7,91,0.9902192700847018,Random walk
8,98,1.0157782027607205,Random walk
9,109,1.1300592015090678,Random walk
10,94,0.9673245142446879,Random walk
11,92,0.9074163474030298,Random walk
12,92,1.0346691400455565,Random walk
13,102,1.1169078601874378,Random walk
14,102,1.0840672477126045,Random walk
15,94,1.0949758306476027,Random walk
16,122,1.2321621194569925,Random walk
17,118,1.3651389948632222,Random walk
18,127,1.360769089745685,Random walk
19,155,1.4721537093362895,Random walk
20,140,1.4409275144693845,Random walk
21,167,1.5041871562946632,Random walk
22,163,1.4698046413685506,Random walk
23,176,1.435066858356936,Random walk
24,153,1.297580323311776,Random walk
25,169,1.2379454671416024,Random walk
26,191,1.208637108608679,Random walk
27,157,1.1527486218051124,Random walk
28,166,1.1030527923615188,Random walk
29,162,1.0838755958366406,Random walk
30,149,1.0668652961667036,Random walk
31,209,1.2498397825917216,Random walk
32,188,1.1061270171613207,Random walk
33,189,1.1709916148000377,Random walk
34,179,1.114416159877252,Random walk
35,148,0.9003657760779165,Random walk
36,165,0.9573646067116754,Random walk
37,166,1.057780073643152,Random walk
38,215,1.0811875937188034,Random walk
39,186,1.1332095637632575,Random walk
40,217,1.2667167597264326,Random walk
41,229,1.2947790326638684,Random walk
42,234,1.4014842503986737,Random walk
43,281,1.343236145589686,Random walk
44,315,1.5375748506056837,Random walk
45,307,1.4112346148196342,Random walk
46,301,1.303386601511694,Random walk
47,283,1.2112809249405636,Random walk
48,264,1.1111953480496415,Random walk
49,327,1.2932131086130227,Random walk
50,293,1.2058853585522389,Random walk
51,358,1.2777974099510547,Random walk
52,321,1.2531469795346803,Random walk
53,301,1.0804238028030526,Random walk
54,314,1.0944751491087281,Random walk
55,327,1.1414454537352205,Random walk
56,365,1.153194325274557,Random walk
57,377,1.1716451018236647,Random walk
58,428,1.3441582208022753,Random walk
59,397,1.224810074276737,Random walk
60,378,1.1820781434265872,Random walk
61,353,0.9706719494309141,Random walk
62,344,0.9572368440646492,Random walk
63,344,0.9903318268212505,Random walk
64,257,0.7963745661429379,Random walk
65,322,0.8644249148226402,Random walk
66,271,0.7437879548308016,Random walk
67,244,0.7816058316353256,Random walk
68,273,0.8544555054720645,Random walk
69,222,0.757356831115523,Random walk
70,225,0.6882449264878487,Random walk
71,189,0.6612688260767838,Random walk
72,159,0.5585522935459349,Random walk
73,136,0.55805018043673,Random walk
74,121,0.5034214218402545,Random walk
75,102,0.47766364122359445,Random walk
76,108,0.5895415397564809,Random walk
77,139,0.6680226195423737,Random walk
78,91,0.613204639271232,Random walk
79,102,0.6121261916579676,Random walk
80,132,0.7809069345925999,Random walk
81,100,0.6987316554122737,Random walk
82,86,0.6316738329393965,Random walk
83,59,0.5383785395927934,Random walk
84,47,0.47852475093663394,Random walk
85,43,0.39766735074378884,Random walk
86,28,0.39286273057064125,Random walk
87,54,0.43631812606214393,Random walk
88,36,0.4171459337326585,Random walk
89,40,0.5749789837723003,Random walk
90,38,0.5471887916835247,Random walk
91,29,0.49553555487196255,Random walk
92,30,0.5550700464109489,Random walk
93,23,0.5893529506718027,Random walk
94,31,0.6221340337647022,Random walk
95,25,0.6381611793160495,Random walk
96,29,0.6557161681748724,Random walk
97,25,0.656910393653178,Random walk
98,23,0.7449708482282371,Random walk
99,32,0.737127605498793,Random walk
100,31,0.6836416915923841,Random walk
1,110,1.0,Sinusoidal
2,109,1.0892784473993182,Sinusoidal
3,106,1.1756874120406713,Sinusoidal
4,128,1.2564496387029531,Sinusoidal
5,141,1.3289693629698562,Sinusoidal
6,155,1.390915741234015,Sinusoidal
7,157,1.440297765928369,Sinusoidal
8,186,1.4755282581475768,Sinusoidal
9,200,1.4954748808839673,Sinusoidal
10,210,1.4994965332706574,Sinusoidal
11,195,1.4874639560909118,Sinusoidal
12,232,1.4597638862757254,Sinusoidal
13,238,1.4172866268606512,Sinusoidal
14,246,1.3613974319136957,Sinusoidal
15,248,1.2938926261462367,Sinusoidal
16,236,1.216941869558779,Sinusoidal
17,250,1.1330184227833375,Sinusoidal
18,234,1.0448196544517168,Sinusoidal
19,234,0.9551803455482833,Sinusoidal
20,204,0.8669815772166625,Sinusoidal
21,161,0.783058130441221,Sinusoidal
22,140,0.7061073738537635,Sinusoidal
23,142,0.6386025680863043,Sinusoidal
24,111,0.5827133731393488,Sinusoidal
25,105,0.5402361137242747,Sinusoidal
26,85,0.5125360439090882,Sinusoidal
27,106,0.5005034667293426,Sinusoidal
28,75,0.5045251191160326,Sinusoidal
29,72,0.5244717418524232,Sinusoidal
30,86,0.5597022340716309,Sinusoidal
31,80,0.609084258765985,Sinusoidal
32,89,0.6710306370301435,Sinusoidal
33,82,0.7435503612970469,Sinusoidal
34,88,0.8243125879593285,Sinusoidal
35,103,0.9107215526006815,Sinusoidal
36,110,0.9999999999999999,Sinusoidal
37,100,1.0892784473993182,Sinusoidal
38,109,1.1756874120406713,Sinusoidal
39,133,1.256449638702953,Sinusoidal
40,116,1.3289693629698562,Sinusoidal
41,155,1.3909157412340147,Sinusoidal
42,165,1.440297765928369,Sinusoidal
43,181,1.4755282581475768,Sinusoidal
44,172,1.4954748808839673,Sinusoidal
45,184,1.4994965332706574,Sinusoidal
46,205,1.4874639560909118,Sinusoidal
47,211,1.4597638862757254,Sinusoidal
48,235,1.4172866268606514,Sinusoidal
49,238,1.3613974319136959,Sinusoidal
50,232,1.2938926261462367,Sinusoidal
51,193,1.2169418695587793,Sinusoidal
52,227,1.1330184227833378,Sinusoidal
53,239,1.044819654451717,Sinusoidal
54,184,0.9551803455482835,Sinusoidal
55,181,0.8669815772166627,Sinusoidal
56,179,0.7830581304412211,Sinusoidal
57,142,0.7061073738537635,Sinusoidal
58,124,0.6386025680863043,Sinusoidal
59,119,0.5827133731393488,Sinusoidal
60,108,0.5402361137242748,Sinusoidal
61,85,0.5125360439090882,Sinusoidal
62,92,0.5005034667293426,Sinusoidal
63,69,0.5045251191160326,Sinusoidal
64,72,0.5244717418524232,Sinusoidal
65,86,0.5597022340716309,Sinusoidal
66,67,0.6090842587659849,Sinusoidal
67,75,0.6710306370301435,Sinusoidal
68,72,0.7435503612970467,Sinusoidal
69,82,0.8243125879593285,Sinusoidal
70,81,0.9107215526006814,Sinusoidal
71,88,0.9999999999999998,Sinusoidal
72,91,1.089278447399318,Sinusoidal
73,104,1.175687412040671,Sinusoidal
74,110,1.256449638702953,Sinusoidal
75,109,1.3289693629698562,Sinusoidal
76,131,1.3909157412340147,Sinusoidal
77,147,1.440297765928369,Sinusoidal
78,135,1.4755282581475768,Sinusoidal
79,161,1.4954748808839673,Sinusoidal
80,184,1.4994965332706574,Sinusoidal
81,211,1.4874639560909118,Sinusoidal
82,159,1.4597638862757254,Sinusoidal
83,197,1.4172866268606514,Sinusoidal
84,206,1.3613974319136959,Sinusoidal
85,176,1.2938926261462367,Sinusoidal
86,203,1.2169418695587793,Sinusoidal
87,203,1.1330184227833378,Sinusoidal
88,187,1.044819654451717,Sinusoidal
89,202,0.9551803455482836,Sinusoidal
90,144,0.8669815772166627,Sinusoidal
91,139,0.7830581304412212,Sinusoidal
92,119,0.7061073738537638,Sinusoidal
93,106,0.6386025680863044,Sinusoidal
94,87,0.5827133731393488,Sinusoidal
95,80,0.5402361137242748,Sinusoidal
96,70,0.5125360439090882,Sinusoidal
97,64,0.5005034667293426,Sinusoidal
98,74,0.5045251191160326,Sinusoidal
99,50,0.5244717418524232,Sinusoidal
100,68,0.5597022340716309,Sinusoidal
1,65,0.6666666666666666,Step-change
2,87,0.6666666666666666,Step-change
3,69,0.6666666666666666,Step-change
4,57,0.6666666666666666,Step-change
5,55,0.6666666666666666,Step-change
6,52,0.6666666666666666,Step-change
7,48,0.6666666666666666,Step-change
8,57,0.6666666666666666,Step-change
9,44,0.6666666666666666,Step-change
10,53,0.6666666666666666,Step-change
11,41,0.6666666666666666,Step-change
12,60,0.6666666666666666,Step-change
13,38,0.6666666666666666,Step-change
14,31,0.6666666666666666,Step-change
15,38,0.6666666666666666,Step-change
16,34,0.6666666666666666,Step-change
17,32,0.6666666666666666,Step-change
18,30,0.6666666666666666,Step-change
19,30,0.6666666666666666,Step-change
20,23,0.6666666666666666,Step-change
21,22,0.6666666666666666,Step-change
22,26,0.6666666666666666,Step-change
23,21,0.6666666666666666,Step-change
24,20,0.6666666666666666,Step-change
25,18,0.6666666666666666,Step-change
26,16,0.6666666666666666,Step-change
27,12,0.6666666666666666,Step-change
28,26,1.5,Step-change
29,45,1.5,Step-change
30,36,1.5,Step-change
31,35,1.5,Step-change
32,42,1.5,Step-change
33,43,1.5,Step-change
34,44,1.5,Step-change
35,46,1.5,Step-change
36,43,1.5,Step-change
37,66,1.5,Step-change
38,57,1.5,Step-change
39,64,1.5,Step-change
40,76,1.5,Step-change
41,79,1.5,Step-change
42,72,1.5,Step-change
43,84,1.5,Step-change
44,84,1.5,Step-change
45,122,1.5,Step-change
46,105,1.5,Step-change
47,126,1.5,Step-change
48,113,1.5,Step-change
49,129,1.5,Step-change
50,139,1.5,Step-change
51,154,1.5,Step-change
52,147,1.5,Step-change
53,184,1.5,Step-change
54,204,1.5,Step-change
55,204,1.5,Step-change
56,97,0.6666666666666666,Step-change
57,88,0.6666666666666666,Step-change
58,107,0.6666666666666666,Step-change
59,96,0.6666666666666666,Step-change
60,91,0.6666666666666666,Step-change
61,99,0.6666666666666666,Step-change
62,88,0.6666666666666666,Step-change
63,83,0.6666666666666666,Step-change
64,71,0.6666666666666666,Step-change
65,82,0.6666666666666666,Step-change
66,73,0.6666666666666666,Step-change
67,68,0.6666666666666666,Step-change
68,66,0.6666666666666666,Step-change
69,62,0.6666666666666666,Step-change
70,67,0.6666666666666666,Step-change
71,55,0.6666666666666666,Step-change
72,56,0.6666666666666666,Step-change
73,52,0.6666666666666666,Step-change
74,46,0.6666666666666666,Step-change
75,40,0.6666666666666666,Step-change
76,46,0.6666666666666666,Step-change
77,46,0.6666666666666666,Step-change
78,34,0.6666666666666666,Step-change
79,31,0.6666666666666666,Step-change
80,30,0.6666666666666666,Step-change
81,32,0.6666666666666666,Step-change
82,35,0.6666666666666666,Step-change
83,27,0.6666666666666666,Step-change
84,55,1.5,Step-change
85,60,1.5,Step-change
86,66,1.5,Step-change
87,63,1.5,Step-change
88,79,1.5,Step-change
89,81,1.5,Step-change
90,94,1.5,Step-change
91,86,1.5,Step-change
92,96,1.5,Step-change
93,96,1.5,Step-change
94,109,1.5,Step-change
95,121,1.5,Step-change
96,120,1.5,Step-change
97,131,1.5,Step-change
98,163,1.5,Step-change
99,151,1.5,Step-change
100,144,1.5,Step-change
