eta,peta,simulation,model,fit
0.001,1.5627607179122012e-185,Random walk,EpiFilter,SI Uncertainty
0.0035037593984962407,2.756227890165364e-184,Random walk,EpiFilter,SI Uncertainty
0.006007518796992481,2.0145753244419647e-136,Random walk,EpiFilter,SI Uncertainty
0.008511278195488721,7.170868948940873e-89,Random walk,EpiFilter,SI Uncertainty
0.011015037593984962,3.7552029349495346e-62,Random walk,EpiFilter,SI Uncertainty
0.013518796992481203,1.3872806825371262e-47,Random walk,EpiFilter,SI Uncertainty
0.01602255639097744,1.4657327126877553e-38,Random walk,EpiFilter,SI Uncertainty
0.018526315789473682,3.012128624882325e-32,Random walk,EpiFilter,SI Uncertainty
0.021030075187969923,1.6881483970068336e-27,Random walk,EpiFilter,SI Uncertainty
0.023533834586466164,9.103135748635666e-24,Random walk,EpiFilter,SI Uncertainty
0.026037593984962405,9.528933853640007e-21,Random walk,EpiFilter,SI Uncertainty
0.028541353383458645,2.989294808509131e-18,Random walk,EpiFilter,SI Uncertainty
0.031045112781954886,3.7460052348821874e-16,Random walk,EpiFilter,SI Uncertainty
0.03354887218045113,2.2876253462685398e-14,Random walk,EpiFilter,SI Uncertainty
0.036052631578947364,7.850634850718259e-13,Random walk,EpiFilter,SI Uncertainty
0.03855639097744361,1.6821857914698443e-11,Random walk,EpiFilter,SI Uncertainty
0.041060150375939845,2.437953338873062e-10,Random walk,EpiFilter,SI Uncertainty
0.04356390977443609,2.5429806386700902e-9,Random walk,EpiFilter,SI Uncertainty
0.04606766917293233,2.0054111217238257e-8,Random walk,EpiFilter,SI Uncertainty
0.04857142857142857,1.24400265043765e-7,Random walk,EpiFilter,SI Uncertainty
0.05107518796992481,6.269793122739265e-7,Random walk,EpiFilter,SI Uncertainty
0.05357894736842105,2.6370094140526786e-6,Random walk,EpiFilter,SI Uncertainty
0.05608270676691729,9.464248917662449e-6,Random walk,EpiFilter,SI Uncertainty
0.058586466165413534,2.95345920762236e-5,Random walk,EpiFilter,SI Uncertainty
0.06109022556390977,8.142542409536699e-5,Random walk,EpiFilter,SI Uncertainty
0.06359398496240601,0.00020103619634728745,Random walk,EpiFilter,SI Uncertainty
0.06609774436090225,0.00044971770665097155,Random walk,EpiFilter,SI Uncertainty
0.0686015037593985,0.000920726051413833,Random walk,EpiFilter,SI Uncertainty
0.07110526315789473,0.0017403606906889757,Random walk,EpiFilter,SI Uncertainty
0.07360902255639097,0.003060360732104128,Random walk,EpiFilter,SI Uncertainty
0.07611278195488722,0.0050399268794123755,Random walk,EpiFilter,SI Uncertainty
0.07861654135338346,0.007818749200622602,Random walk,EpiFilter,SI Uncertainty
0.08112030075187969,0.011485649654775056,Random walk,EpiFilter,SI Uncertainty
0.08362406015037593,0.016049671468705052,Random walk,EpiFilter,SI Uncertainty
0.08612781954887218,0.021420767929516665,Random walk,EpiFilter,SI Uncertainty
0.08863157894736842,0.027405465682943143,Random walk,EpiFilter,SI Uncertainty
0.09113533834586465,0.03371955497389063,Random walk,EpiFilter,SI Uncertainty
0.0936390977443609,0.040016028368695424,Random walk,EpiFilter,SI Uncertainty
0.09614285714285714,0.045923256475749706,Random walk,EpiFilter,SI Uncertainty
0.09864661654135337,0.05108655528908069,Random walk,EpiFilter,SI Uncertainty
0.10115037593984962,0.05520616039815573,Random walk,EpiFilter,SI Uncertainty
0.10365413533834586,0.058065972780408696,Random walk,EpiFilter,SI Uncertainty
0.1061578947368421,0.05954973172618106,Random walk,EpiFilter,SI Uncertainty
0.10866165413533833,0.05964383562219574,Random walk,EpiFilter,SI Uncertainty
0.11116541353383458,0.0584282839860576,Random walk,EpiFilter,SI Uncertainty
0.11366917293233082,0.05605877223029958,Random walk,EpiFilter,SI Uncertainty
0.11617293233082707,0.05274369351666496,Random walk,EpiFilter,SI Uncertainty
0.1186766917293233,0.0487197564233743,Random walk,EpiFilter,SI Uncertainty
0.12118045112781954,0.044229313483181515,Random walk,EpiFilter,SI Uncertainty
0.12368421052631579,0.039501566722568604,Random walk,EpiFilter,SI Uncertainty
0.12618796992481202,0.03473881007930418,Random walk,EpiFilter,SI Uncertainty
0.12869172932330827,0.030107966136668777,Random walk,EpiFilter,SI Uncertainty
0.1311954887218045,0.02573698422447033,Random walk,EpiFilter,SI Uncertainty
0.13369924812030073,0.021715227949137814,Random walk,EpiFilter,SI Uncertainty
0.136203007518797,0.018096779104078583,Random walk,EpiFilter,SI Uncertainty
0.13870676691729322,0.014905575583929938,Random walk,EpiFilter,SI Uncertainty
0.14121052631578945,0.012141423669055679,Random walk,EpiFilter,SI Uncertainty
0.1437142857142857,0.009786120977548825,Random walk,EpiFilter,SI Uncertainty
0.14621804511278194,0.007809146414115671,Random walk,EpiFilter,SI Uncertainty
0.1487218045112782,0.006172582251681119,Random walk,EpiFilter,SI Uncertainty
0.15122556390977443,0.0048351097177648525,Random walk,EpiFilter,SI Uncertainty
0.15372932330827066,0.0037550536748810477,Random walk,EpiFilter,SI Uncertainty
0.15623308270676692,0.002892543514772945,Random walk,EpiFilter,SI Uncertainty
0.15873684210526315,0.002210911115087116,Random walk,EpiFilter,SI Uncertainty
0.16124060150375938,0.001677470300532734,Random walk,EpiFilter,SI Uncertainty
0.16374436090225564,0.0012638240827242198,Random walk,EpiFilter,SI Uncertainty
0.16624812030075187,0.0009458337620453649,Random walk,EpiFilter,SI Uncertainty
0.1687518796992481,0.0007033641466942798,Random walk,EpiFilter,SI Uncertainty
0.17125563909774436,0.000519896465843452,Random walk,EpiFilter,SI Uncertainty
0.17375939849624059,0.00038207827741809403,Random walk,EpiFilter,SI Uncertainty
0.17626315789473684,0.0002792597459206074,Random walk,EpiFilter,SI Uncertainty
0.17876691729323307,0.00020304903918294697,Random walk,EpiFilter,SI Uncertainty
0.1812706766917293,0.00014690650813111407,Random walk,EpiFilter,SI Uncertainty
0.18377443609022556,0.00010578756827652686,Random walk,EpiFilter,SI Uncertainty
0.1862781954887218,7.583735092749763e-5,Random walk,EpiFilter,SI Uncertainty
0.18878195488721802,5.41356943217618e-5,Random walk,EpiFilter,SI Uncertainty
0.19128571428571428,3.848835679789039e-5,Random walk,EpiFilter,SI Uncertainty
0.1937894736842105,2.725896620252299e-5,Random walk,EpiFilter,SI Uncertainty
0.19629323308270677,1.9235762204015847e-5,Random walk,EpiFilter,SI Uncertainty
0.198796992481203,1.35273175613681e-5,Random walk,EpiFilter,SI Uncertainty
0.20130075187969923,9.481898257987766e-6,Random walk,EpiFilter,SI Uncertainty
0.2038045112781955,6.625768124809001e-6,Random walk,EpiFilter,SI Uncertainty
0.20630827067669172,4.6164448788720085e-6,Random walk,EpiFilter,SI Uncertainty
0.20881203007518795,3.207598265832324e-6,Random walk,EpiFilter,SI Uncertainty
0.2113157894736842,2.2229055358074073e-6,Random walk,EpiFilter,SI Uncertainty
0.21381954887218044,1.536724918894432e-6,Random walk,EpiFilter,SI Uncertainty
0.21632330827067667,1.0599085004802521e-6,Random walk,EpiFilter,SI Uncertainty
0.21882706766917293,7.294550392191105e-7,Random walk,EpiFilter,SI Uncertainty
0.22133082706766916,5.010086975871157e-7,Random walk,EpiFilter,SI Uncertainty
0.2238345864661654,3.4345134891520104e-7,Random walk,EpiFilter,SI Uncertainty
0.22633834586466164,2.350244877505817e-7,Random walk,EpiFilter,SI Uncertainty
0.22884210526315787,1.605616338454211e-7,Random walk,EpiFilter,SI Uncertainty
0.23134586466165413,1.0952223341198592e-7,Random walk,EpiFilter,SI Uncertainty
0.23384962406015036,7.460089273034595e-8,Random walk,EpiFilter,SI Uncertainty
0.2363533834586466,5.074750769527156e-8,Random walk,EpiFilter,SI Uncertainty
0.23885714285714285,3.447946713301991e-8,Random walk,EpiFilter,SI Uncertainty
0.24136090225563908,2.3400555890078165e-8,Random walk,EpiFilter,SI Uncertainty
0.2438646616541353,1.586553879954509e-8,Random walk,EpiFilter,SI Uncertainty
0.24636842105263157,1.074702664077676e-8,Random walk,EpiFilter,SI Uncertainty
0.2488721804511278,7.273897193596817e-9,Random walk,EpiFilter,SI Uncertainty
0.25137593984962403,4.919608181126932e-9,Random walk,EpiFilter,SI Uncertainty
0.25387969924812026,3.325189006599093e-9,Random walk,EpiFilter,SI Uncertainty
0.25638345864661655,2.2462668961070397e-9,Random walk,EpiFilter,SI Uncertainty
0.2588872180451128,1.5167051014807519e-9,Random walk,EpiFilter,SI Uncertainty
0.261390977443609,1.023693984321425e-9,Random walk,EpiFilter,SI Uncertainty
0.26389473684210524,6.907195053504401e-10,Random walk,EpiFilter,SI Uncertainty
0.26639849624060147,4.659380215037172e-10,Random walk,EpiFilter,SI Uncertainty
0.26890225563909775,3.142539294622809e-10,Random walk,EpiFilter,SI Uncertainty
0.271406015037594,2.1192866269437868e-10,Random walk,EpiFilter,SI Uncertainty
0.2739097744360902,1.4291717109071244e-10,Random walk,EpiFilter,SI Uncertainty
0.27641353383458644,9.638140212274168e-11,Random walk,EpiFilter,SI Uncertainty
0.2789172932330827,6.500453537416456e-11,Random walk,EpiFilter,SI Uncertainty
0.2814210526315789,4.384925896073295e-11,Random walk,EpiFilter,SI Uncertainty
0.2839248120300752,2.958521792598043e-11,Random walk,EpiFilter,SI Uncertainty
0.2864285714285714,1.9966691111406794e-11,Random walk,EpiFilter,SI Uncertainty
0.28893233082706765,1.3479702992938554e-11,Random walk,EpiFilter,SI Uncertainty
0.2914360902255639,9.103758680820213e-12,Random walk,EpiFilter,SI Uncertainty
0.2939398496240601,6.15105856953162e-12,Random walk,EpiFilter,SI Uncertainty
0.2964436090225564,4.1580477116286875e-12,Random walk,EpiFilter,SI Uncertainty
0.29894736842105263,2.8122931644669912e-12,Random walk,EpiFilter,SI Uncertainty
0.30145112781954886,1.9031961569995535e-12,Random walk,EpiFilter,SI Uncertainty
0.3039548872180451,1.2887775850427428e-12,Random walk,EpiFilter,SI Uncertainty
0.3064586466165413,8.732986713549187e-13,Random walk,EpiFilter,SI Uncertainty
0.30896240601503755,5.921835044487176e-13,Random walk,EpiFilter,SI Uncertainty
0.31146616541353384,4.0186124141358436e-13,Random walk,EpiFilter,SI Uncertainty
0.31396992481203007,2.729224375199623e-13,Random walk,EpiFilter,SI Uncertainty
0.3164736842105263,1.8550774273263355e-13,Random walk,EpiFilter,SI Uncertainty
0.3189774436090225,1.2620027200840634e-13,Random walk,EpiFilter,SI Uncertainty
0.32148120300751876,8.593086262017503e-14,Random walk,EpiFilter,SI Uncertainty
0.32398496240601504,5.856569281718449e-14,Random walk,EpiFilter,SI Uncertainty
0.3264887218045113,3.9953669332598694e-14,Random walk,EpiFilter,SI Uncertainty
0.3289924812030075,2.7283671772513622e-14,Random walk,EpiFilter,SI Uncertainty
0.33149624060150373,1.8650679981688578e-14,Random walk,EpiFilter,SI Uncertainty
0.33399999999999996,1.276276157489409e-14,Random walk,EpiFilter,SI Uncertainty
0.33650375939849625,8.743084640198361e-15,Random walk,EpiFilter,SI Uncertainty
0.3390075187969925,5.996062581176113e-15,Random walk,EpiFilter,SI Uncertainty
0.3415112781954887,4.1168021440072664e-15,Random walk,EpiFilter,SI Uncertainty
0.34401503759398494,2.829805811470875e-15,Random walk,EpiFilter,SI Uncertainty
0.34651879699248117,1.9474487772246394e-15,Random walk,EpiFilter,SI Uncertainty
0.3490225563909774,1.3418307350437197e-15,Random walk,EpiFilter,SI Uncertainty
0.3515263157894737,9.256797769010474e-16,Random walk,EpiFilter,SI Uncertainty
0.3540300751879699,6.393869914265097e-16,Random walk,EpiFilter,SI Uncertainty
0.35653383458646615,4.4219619572299014e-16,Random walk,EpiFilter,SI Uncertainty
0.3590375939849624,3.0621198501399586e-16,Random walk,EpiFilter,SI Uncertainty
0.3615413533834586,2.1232089281760628e-16,Random walk,EpiFilter,SI Uncertainty
0.3640451127819549,1.474122705487429e-16,Random walk,EpiFilter,SI Uncertainty
0.3665488721804511,1.0248292318797885e-16,Random walk,EpiFilter,SI Uncertainty
0.36905263157894735,7.134319793010179e-17,Random walk,EpiFilter,SI Uncertainty
0.3715563909774436,4.973277674476589e-17,Random walk,EpiFilter,SI Uncertainty
0.3740601503759398,3.47158196974972e-17,Random walk,EpiFilter,SI Uncertainty
0.37656390977443605,2.4266765183462257e-17,Random walk,EpiFilter,SI Uncertainty
0.37906766917293233,1.6986383646679776e-17,Random walk,EpiFilter,SI Uncertainty
0.38157142857142856,1.1906909391045516e-17,Random walk,EpiFilter,SI Uncertainty
0.3840751879699248,8.358155196149208e-18,Random walk,EpiFilter,SI Uncertainty
0.386578947368421,5.8754204151553345e-18,Random walk,EpiFilter,SI Uncertainty
0.38908270676691725,4.136072768075831e-18,Random walk,EpiFilter,SI Uncertainty
0.39158646616541354,2.915824481948161e-18,Random walk,EpiFilter,SI Uncertainty
0.39409022556390977,2.0585506781930064e-18,Random walk,EpiFilter,SI Uncertainty
0.396593984962406,1.4554304048984442e-18,Random walk,EpiFilter,SI Uncertainty
0.39909774436090223,1.0305129843657493e-18,Random walk,EpiFilter,SI Uncertainty
0.40160150375939846,7.307180357161573e-19,Random walk,EpiFilter,SI Uncertainty
0.4041052631578947,5.188985488446698e-19,Random walk,EpiFilter,SI Uncertainty
0.406609022556391,3.6902267165754783e-19,Random walk,EpiFilter,SI Uncertainty
0.4091127819548872,2.6282281362898672e-19,Random walk,EpiFilter,SI Uncertainty
0.41161654135338344,1.8746220330310153e-19,Random walk,EpiFilter,SI Uncertainty
0.41412030075187967,1.3390784581131795e-19,Random walk,EpiFilter,SI Uncertainty
0.4166240601503759,9.579454282981028e-20,Random walk,EpiFilter,SI Uncertainty
0.4191278195488722,6.863071693524462e-20,Random walk,EpiFilter,SI Uncertainty
0.4216315789473684,4.924245585225343e-20,Random walk,EpiFilter,SI Uncertainty
0.42413533834586464,3.538379920691888e-20,Random walk,EpiFilter,SI Uncertainty
0.4266390977443609,2.5463189869439635e-20,Random walk,EpiFilter,SI Uncertainty
0.4291428571428571,1.8351203995638886e-20,Random walk,EpiFilter,SI Uncertainty
0.43164661654135333,1.3245225914312145e-20,Random walk,EpiFilter,SI Uncertainty
0.4341503759398496,9.574072385019786e-21,Random walk,EpiFilter,SI Uncertainty
0.43665413533834585,6.93068063649746e-21,Random walk,EpiFilter,SI Uncertainty
0.4391578947368421,5.024537251691699e-21,Random walk,EpiFilter,SI Uncertainty
0.4416616541353383,3.648012057313897e-21,Random walk,EpiFilter,SI Uncertainty
0.44416541353383454,2.6524996512710932e-21,Random walk,EpiFilter,SI Uncertainty
0.4466691729323308,1.9314879683871663e-21,Random walk,EpiFilter,SI Uncertainty
0.44917293233082706,1.4085260144733668e-21,Random walk,EpiFilter,SI Uncertainty
0.4516766917293233,1.0286612871301807e-21,Random walk,EpiFilter,SI Uncertainty
0.4541804511278195,7.523378622476379e-22,Random walk,EpiFilter,SI Uncertainty
0.45668421052631575,5.51041953761976e-22,Random walk,EpiFilter,SI Uncertainty
0.459187969924812,4.041901695970581e-22,Random walk,EpiFilter,SI Uncertainty
0.46169172932330826,2.9690271335422317e-22,Random walk,EpiFilter,SI Uncertainty
0.4641954887218045,2.1840763948105607e-22,Random walk,EpiFilter,SI Uncertainty
0.4666992481203007,1.608957320203249e-22,Random walk,EpiFilter,SI Uncertainty
0.46920300751879696,1.1869760903502672e-22,Random walk,EpiFilter,SI Uncertainty
0.4717067669172932,8.769155749071294e-23,Random walk,EpiFilter,SI Uncertainty
0.47421052631578947,6.487681106158055e-23,Random walk,EpiFilter,SI Uncertainty
0.4767142857142857,4.8065620630482736e-23,Random walk,EpiFilter,SI Uncertainty
0.47921804511278193,3.5660738810331035e-23,Random walk,EpiFilter,SI Uncertainty
0.48172180451127816,2.649440317612165e-23,Random walk,EpiFilter,SI Uncertainty
0.4842255639097744,1.97116598992579e-23,Random walk,EpiFilter,SI Uncertainty
0.4867293233082706,1.4685700594263596e-23,Random walk,EpiFilter,SI Uncertainty
0.4892330827067669,1.0956343996974145e-23,Random walk,EpiFilter,SI Uncertainty
0.49173684210526314,8.185273742145636e-24,Random walk,EpiFilter,SI Uncertainty
0.49424060150375937,6.1234235836667325e-24,Random walk,EpiFilter,SI Uncertainty
0.4967443609022556,4.5871809903819225e-24,Random walk,EpiFilter,SI Uncertainty
0.49924812030075183,3.4410011077788335e-24,Random walk,EpiFilter,SI Uncertainty
0.5017518796992481,2.5846869492462956e-24,Random walk,EpiFilter,SI Uncertainty
0.5042556390977444,1.944070824575134e-24,Random walk,EpiFilter,SI Uncertainty
0.5067593984962405,1.4641782937857451e-24,Random walk,EpiFilter,SI Uncertainty
0.5092631578947369,1.104206527832145e-24,Random walk,EpiFilter,SI Uncertainty
0.5117669172932331,8.338305471502629e-25,Random walk,EpiFilter,SI Uncertainty
0.5142706766917293,6.304825707168195e-25,Random walk,EpiFilter,SI Uncertainty
0.5167744360902256,4.773454417784207e-25,Random walk,EpiFilter,SI Uncertainty
0.5192781954887218,3.61870745248122e-25,Random walk,EpiFilter,SI Uncertainty
0.521781954887218,2.7468297019400136e-25,Random walk,EpiFilter,SI Uncertainty
0.5242857142857144,2.0876808196980865e-25,Random walk,EpiFilter,SI Uncertainty
0.5267894736842105,1.5887190173365185e-25,Random walk,EpiFilter,SI Uncertainty
0.5292932330827068,1.2105346222065676e-25,Random walk,EpiFilter,SI Uncertainty
0.5317969924812029,9.235298739903731e-26,Random walk,EpiFilter,SI Uncertainty
0.5343007518796993,7.054476051423117e-26,Random walk,EpiFilter,SI Uncertainty
0.5368045112781955,5.395294017046575e-26,Random walk,EpiFilter,SI Uncertainty
0.5393082706766917,4.131411487214416e-26,Random walk,EpiFilter,SI Uncertainty
0.541812030075188,3.1674604965156054e-26,Random walk,EpiFilter,SI Uncertainty
0.5443157894736842,2.4313630229075502e-26,Random walk,EpiFilter,SI Uncertainty
0.5468195488721804,1.868575604883682e-26,Random walk,EpiFilter,SI Uncertainty
0.5493233082706768,1.437772672892582e-26,Random walk,EpiFilter,SI Uncertainty
0.5518270676691729,1.1076049074219766e-26,Random walk,EpiFilter,SI Uncertainty
0.5543308270676692,8.542618754655079e-27,Random walk,EpiFilter,SI Uncertainty
0.5568345864661653,6.596371339433595e-27,Random walk,EpiFilter,SI Uncertainty
0.5593383458646617,5.099451859393671e-27,Random walk,EpiFilter,SI Uncertainty
0.5618421052631578,3.946777454929529e-27,Random walk,EpiFilter,SI Uncertainty
0.5643458646616542,3.058151102751179e-27,Random walk,EpiFilter,SI Uncertainty
0.5668496240601504,2.37229569667204e-27,Random walk,EpiFilter,SI Uncertainty
0.5693533834586466,1.8423354471837566e-27,Random walk,EpiFilter,SI Uncertainty
0.5718571428571428,1.4323693992021306e-27,Random walk,EpiFilter,SI Uncertainty
0.5743609022556391,1.1148700272603097e-27,Random walk,EpiFilter,SI Uncertainty
0.5768646616541353,8.68705905191838e-28,Random walk,EpiFilter,SI Uncertainty
0.5793684210526316,6.776369738090385e-28,Random walk,EpiFilter,SI Uncertainty
0.5818721804511278,5.291681178275103e-28,Random walk,EpiFilter,SI Uncertainty
0.5843759398496241,4.136747196147795e-28,Random walk,EpiFilter,SI Uncertainty
0.5868796992481202,3.237348986629672e-28,Random walk,EpiFilter,SI Uncertainty
0.5893834586466166,2.536190011046149e-28,Random walk,EpiFilter,SI Uncertainty
0.5918872180451128,1.9889886521178994e-28,Random walk,EpiFilter,SI Uncertainty
0.594390977443609,1.5614842339161022e-28,Random walk,EpiFilter,SI Uncertainty
0.5968947368421053,1.2271403288214103e-28,Random walk,EpiFilter,SI Uncertainty
0.5993984962406015,9.653809922342983e-29,Random walk,EpiFilter,SI Uncertainty
0.6019022556390977,7.602347638714735e-29,Random walk,EpiFilter,SI Uncertainty
0.6044060150375941,5.992910168131424e-29,Random walk,EpiFilter,SI Uncertainty
0.6069097744360902,4.7289582862020154e-29,Random walk,EpiFilter,SI Uncertainty
0.6094135338345865,3.735317305759812e-29,Random walk,EpiFilter,SI Uncertainty
0.6119172932330826,2.953387721285369e-29,Random walk,EpiFilter,SI Uncertainty
0.614421052631579,2.337443077127063e-29,Random walk,EpiFilter,SI Uncertainty
0.6169248120300752,1.8517652054038032e-29,Random walk,EpiFilter,SI Uncertainty
0.6194285714285714,1.4684250893734204e-29,Random walk,EpiFilter,SI Uncertainty
0.6219323308270677,1.1655620443705936e-29,Random walk,EpiFilter,SI Uncertainty
0.6244360902255639,9.260479254071623e-30,Random walk,EpiFilter,SI Uncertainty
0.6269398496240601,7.364491394168042e-30,Random walk,EpiFilter,SI Uncertainty
0.6294436090225564,5.8621923934530156e-30,Random walk,EpiFilter,SI Uncertainty
0.6319473684210526,4.6707023644183175e-30,Random walk,EpiFilter,SI Uncertainty
0.6344511278195489,3.724825751648499e-30,Random walk,EpiFilter,SI Uncertainty
0.636954887218045,2.973228027089576e-30,Random walk,EpiFilter,SI Uncertainty
0.6394586466165414,2.3754496630685116e-30,Random walk,EpiFilter,SI Uncertainty
0.6419624060150375,1.8995717083904866e-30,Random walk,EpiFilter,SI Uncertainty
0.6444661654135339,1.5203889761929476e-30,Random walk,EpiFilter,SI Uncertainty
0.6469699248120301,1.2179790650603838e-30,Random walk,EpiFilter,SI Uncertainty
0.6494736842105263,9.765803541383936e-31,Random walk,EpiFilter,SI Uncertainty
0.6519774436090225,7.837114096493976e-31,Random walk,EpiFilter,SI Uncertainty
0.6544812030075188,6.29479197824997e-31,Random walk,EpiFilter,SI Uncertainty
0.656984962406015,5.060351051986711e-31,Random walk,EpiFilter,SI Uncertainty
0.6594887218045113,4.07146781333714e-31,Random walk,EpiFilter,SI Uncertainty
0.6619924812030075,3.2786082713244937e-31,Random walk,EpiFilter,SI Uncertainty
0.6644962406015038,2.6423680563858247e-31,Random walk,EpiFilter,SI Uncertainty
